Köy1;Köy2;Mesafe
Aliköy;Küçükhacılar;1
Aliköy;Isparta Merkez;11
Aliköy;Kuleönü;11
Aliköy;Küçükgökçeli;16
Aliköy;Büyükgökçeli;21
Aliköy;Harmanören;22
Aliköy;Beydere;31
Aliköy;Eğirdir;32
Aliköy;Yazısöğüt;5
Aliköy;Bozanönü;10
Aliköy;Sevinçbey;28
Küçükhacılar;Büyükhacılar;4
Küçükhacılar;Yazısöğüt;6
Küçükhacılar;Isparta Merkez;10
Küçükhacılar;Savköy;7
Büyükhacılar;Savköy;6
Büyükhacılar;Yazısöğüt;5
Büyükhacılar;Isparta Merkez;9
Büyükhacılar;Çobanisamerkez;11
Yazısöğüt;Savköy;4
Yazısöğüt;Isparta Merkez;5
Yazısöğüt;Aliköy;6
Savköy;Direkli;12
Savköy;Kadılar;8
Savköy;Küçükkışla;10
Savköy;Kışlaköy;23
Savköy;Darıören;17
Savköy;Güneyce;23
Direkli;Darıderesi;16
Direkli;Kadılar;4
Direkli;Isparta Merkez;12
Kadılar;Kışlaköy;13
Kadılar;Küçükkışla;5
Kadılar;Darıören;22
Kadılar;Güneyce;16
Küçükkışla;Darıören;19
Küçükkışla;Kışlaköy;16
Kışlaköy;Güneyce;10
Kışlaköy;Darıören;16
Güneyce;Darıören;9
Güneyce;Çukurköy;9
Çukurköy;Yukarıgökdere;12
Yukarıgökdere;Kırıntı;7
Yukarıgökdere;Serpilköy;7
Yukarıgökdere;Eyüpler;11
Yukarıgökdere;Tepeli;12
Yukarıgökdere;Balkırı;14
Yukarıgökdere;Bademli;30
Yukarıgökdere;Bağlar;20
Yukarıgökdere;Yeni;21
Serpilköy;Eyüpler;9
Serpilköy;Kırıntı;10
Serpilköy;Yuvalı;12
Serpilköy;Tepeli;9
Serpilköy;Balkırı;11
Yuvalı;Sipahiler;9
Yuvalı;Akdoğan;10
Serpilköy;Bağlar;17
Serpilköy;Yeni;18
Eyüpler;Kırıntı;14
Eyüpler;Tepeli;4
Eyüpler;Balkırı;3
Eyüpler;Bademli;28
Eyüpler;Bağlar;10
Eyüpler;Yeni;10
Tepeli;Balkırı;5
Tepeli;Akdoğan;6
Tepeli;Yuvalı;11
Tepeli;Bağlar;9
Tepeli;Yeni;10
Tepeli;Kırıntı;14
Balkırı;Bağlar;8
Balkırı;Yeni;9
Balkırı;Sevinçbey;20
Balkırı;Bademli;16
Balkırı;Eğirdir;19
Balkırı;Kırıntı;18
Ağılköy;Çayköy;4
Ağılköy;Akdoğan;7
Ağılköy;Yılanlı;11
Ağılköy;Bağlar;6
Yeni;Bağlar;3
Yeni;Akpınar;4
Yeni;Eğirdir;2
Kuleönü;Senirce;10
Kuleönü;Bayat;2
Kuleönü;Küçükgökçeli;8
Kuleönü;Büyükgökçeli;12
Kuleönü;Harmanören;14
Kuleönü;Beydere;23
Kuleönü;Sevinçbey;19
Kuleönü;Eğirdir;24
Kuleönü;Bağören ;31
Kuleönü;Barla;32
Kuleönü;Isparta Merkez;15
Küçükgökçeli;Büyükgökçeli;5
Küçükgökçeli;Harmanören;7
Küçükgökçeli;Sevinçbey;12
Küçükgökçeli;Eğirdir;17
Küçükgökçeli;Beydere;16
Küçükgökçeli;Bağören;24
Küçükgökçeli;Barla;25
Küçükgökçeli;Isparta Merkez;20
Büyükgökçeli;Harmanören;6
Büyükgökçeli;Sevinçbey;11
Büyükgökçeli;Bademli;6
Büyükgökçeli;Çobanisamerkez;9
Büyükgökçeli;Eğirdir;16
Büyükgökçeli;Beydere;14
Büyükgökçeli;Bağören;23
Büyükgökçeli;Barla;24
Büyükgökçeli;Isparta Merkez;25
Sevinçbey;Bademli;5
Sevinçbey;Eğirdir;7
Sevinçbey;Harmanören;13
Sevinçbey;Beydere;21
Sevinçbey;Bağören;29
Sevinçbey;Barla;30
Sevinçbey;Isparta Merkez;32
Bademli;Çobanisamerkez;7
Eğirdir;Beydere;13
Eğirdir;Bağören;21
Eğirdir;Barla;22
Eğirdir;Harmanören;17
Eğirdir;Isparta Merkez;36
Harmanören;İslamköy;5
Harmanören;Pembeli;4
Harmanören;Atabey;8
Harmanören;Beydere;9
Harmanören;Bağören;25
Harmanören;Barla;25
Harmanören;Isparta Merkez;26
Pembeli;İslamköy;5
Pembeli;Atabey;5
Pembeli;Beydere;9
Atabey;Bayat;8
Atabey;İslamköy;4
Atabey;Kapıcak;7
Atabey;Gönen;14
Gönen;Kasap;2
Gönen;Kızılcık;6
Gönen;Bozanönü;13
Gönen;Isparta Merkez;24
Gönen;İğdecik;8
Gönen;Koçtepe;16
Gönen;Gölbaşı;18
Gönen;Keçiborlu;27
